Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,SMA21,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Forecasts,Trade,Trendline Support,Trendline Broken,Stop %,Target1 %,Target2 %,notes
GLD,,375.37,0.14,34.89,51.71,Neutral,1.7,373.7807,372.2095,,,1.92,,,,,,,Decreasing,0.0303,3.56,0.9176,1.267,-0.3494,51.03,48.86,315.6565,385.175,371.944,358.713,"above EMA20, positive ROC","{3: {'yhat': 383.81, 'yhat_lower': 378.35, 'yhat_upper': 389.39}, 5: {'yhat': 385.3, 'yhat_lower': 380.12, 'yhat_upper': 391.27}, 7: {'yhat': 385.65, 'yhat_lower': 380.85, 'yhat_upper': 391.64}, 14: {'yhat': 384.57, 'yhat_lower': 379.18, 'yhat_upper': 389.91}}",SELL,384.9149,True,-2.55,1.7,3.4,
ENPH,,27.14,3.91,34.27,34.98,Neutral,7.27,30.07,30.5186,,,-10.19,,,,,,,Decreasing,0.0029,-8.55,-1.6821,-1.5306,-0.1515,6.5,4.2,44.0542,35.9676,30.233,24.4984,RSI low,"{3: {'yhat': 30.62, 'yhat_lower': 28.19, 'yhat_upper': 33.27}, 5: {'yhat': 30.46, 'yhat_lower': 27.95, 'yhat_upper': 33.13}, 7: {'yhat': 31.3, 'yhat_lower': 28.54, 'yhat_upper': 33.87}, 14: {'yhat': 33.56, 'yhat_lower': 30.93, 'yhat_upper': 36.33}}",SELL,28.8529,True,-10.9,7.27,14.54,
PANW,,183.51,-0.84,33.61,12.44,Oversold,3.58,204.8673,210.109,,,-13.56,,,,,,,Increasing,0.04,-11.92,-6.6933,-3.0509,-3.6424,6.75,8.99,189.1287,231.7606,209.759,187.7574,"vol↑, RSI low","{3: {'yhat': 190.53, 'yhat_lower': 184.68, 'yhat_upper': 196.51}, 5: {'yhat': 189.65, 'yhat_lower': 184.11, 'yhat_upper': 196.05}, 7: {'yhat': 187.83, 'yhat_lower': 182.68, 'yhat_upper': 194.26}, 14: {'yhat': 189.23, 'yhat_lower': 183.45, 'yhat_upper': 194.95}}",SELL,210.4932,True,-5.37,3.58,7.16,
PFE,,25.5,4.51,32.67,59.44,Neutral,3.02,24.8413,24.6566,,,4.38,,,,,,,Increasing,0.02,6.02,0.1734,0.1799,-0.0064,43.27,45.67,23.9782,25.9968,24.6729,23.3489,"vol↑, above EMA20, positive ROC","{3: {'yhat': 25.24, 'yhat_lower': 24.7, 'yhat_upper': 25.83}, 5: {'yhat': 25.18, 'yhat_lower': 24.62, 'yhat_upper': 25.77}, 7: {'yhat': 25.14, 'yhat_lower': 24.53, 'yhat_upper': 25.72}, 14: {'yhat': 25.03, 'yhat_lower': 24.44, 'yhat_upper': 25.65}}",HOLD,24.5571,False,-4.53,3.02,6.04,
CRM,,226.1,0.32,32.52,25.08,Oversold,3.26,240.3253,245.09,,,-5.74,,,,,,,Increasing,0.0028,-4.1,-5.9831,-3.6,-2.3831,8.06,8.3,275.0535,266.8338,244.603,222.3722,"vol↑, RSI low","{3: {'yhat': 228.15, 'yhat_lower': 220.17, 'yhat_upper': 235.74}, 5: {'yhat': 229.13, 'yhat_lower': 221.12, 'yhat_upper': 236.33}, 7: {'yhat': 228.03, 'yhat_lower': 220.49, 'yhat_upper': 235.76}, 14: {'yhat': 235.13, 'yhat_lower': 227.1, 'yhat_upper': 243.44}}",SELL,239.6411,True,-4.89,3.26,6.52,
MRNA,,23.7162,6.07,32.39,42.18,Neutral,6.12,24.9339,25.1136,,,-3.36,,,,,,,Decreasing,0.0031,-1.72,-0.597,-0.4128,-0.1842,18.03,21.23,30.2936,27.7912,25.0323,22.2734,RSI low,"{3: {'yhat': 25.35, 'yhat_lower': 23.23, 'yhat_upper': 27.53}, 5: {'yhat': 25.49, 'yhat_lower': 23.4, 'yhat_upper': 27.52}, 7: {'yhat': 25.57, 'yhat_lower': 23.25, 'yhat_upper': 27.78}, 14: {'yhat': 25.76, 'yhat_lower': 23.65, 'yhat_upper': 27.87}}",SELL,24.9675,True,-9.18,6.12,12.24,
HD,,346.21,4.16,31.45,36.56,Neutral,2.61,362.7983,367.8171,,,-6.71,,,,,,,Increasing,0.0028,-5.07,-11.0518,-8.2861,-2.7657,12.09,6.53,378.8878,400.5322,366.874,333.2158,"vol↑, RSI low","{3: {'yhat': 345.97, 'yhat_lower': 338.45, 'yhat_upper': 353.13}, 5: {'yhat': 345.32, 'yhat_lower': 337.78, 'yhat_upper': 352.12}, 7: {'yhat': 346.21, 'yhat_lower': 339.1, 'yhat_upper': 353.5}, 14: {'yhat': 347.82, 'yhat_lower': 340.24, 'yhat_upper': 355.65}}",SELL,352.4372,True,-3.92,2.61,5.22,
AAPL,,270.66,1.66,31.1,56.39,Neutral,2.15,267.6354,269.5516,,,0.91,,,,,,,Increasing,0.0909,2.55,0.9525,2.0332,-1.0807,27.57,21.95,225.7731,274.352,269.9009,265.4499,"vol↑, above EMA20, positive ROC","{3: {'yhat': 267.61, 'yhat_lower': 260.92, 'yhat_upper': 274.52}, 5: {'yhat': 268.91, 'yhat_lower': 262.31, 'yhat_upper': 275.33}, 7: {'yhat': 269.61, 'yhat_lower': 262.26, 'yhat_upper': 276.58}, 14: {'yhat': 277.19, 'yhat_lower': 270.52, 'yhat_upper': 283.85}}",SELL,273.3519,True,-3.22,2.15,4.3,
NFLX,,105.3,-0.35,30.69,31.45,Neutral,3.1,111.4662,110.6006,,,-4.59,,,,,,,Increasing,0.0069,-2.95,-1.6144,-1.002,-0.6124,12.7,30.27,107.0671,116.0108,110.6572,105.3035,"vol↑, RSI low","{3: {'yhat': 111.97, 'yhat_lower': 108.59, 'yhat_upper': 115.19}, 5: {'yhat': 112.92, 'yhat_lower': 109.53, 'yhat_upper': 115.98}, 7: {'yhat': 112.74, 'yhat_lower': 109.54, 'yhat_upper': 116.02}, 14: {'yhat': 113.87, 'yhat_lower': 110.46, 'yhat_upper': 117.39}}",SELL,107.9302,True,-4.65,3.1,6.2,
MSTR,,174.6,-1.43,29.83,19.05,Oversold,9.76,227.0912,236.1029,,,-27.83,,,,,,,Increasing,0.0078,-26.19,-23.8964,-20.8461,-3.0503,6.59,9.05,341.6002,305.3637,233.454,161.5443,"vol↑, RSI low","{3: {'yhat': 181.65, 'yhat_lower': 162.48, 'yhat_upper': 201.45}, 5: {'yhat': 182.92, 'yhat_lower': 164.0, 'yhat_upper': 201.29}, 7: {'yhat': 182.21, 'yhat_lower': 161.18, 'yhat_upper': 202.2}, 14: {'yhat': 186.03, 'yhat_lower': 166.94, 'yhat_upper': 205.12}}",SELL,213.1709,True,-14.64,9.76,19.52,
SPY,,659.89,1.13,27.53,38.66,Neutral,1.55,669.304,674.7076,,,-1.65,,,,,,,Increasing,0.0417,-0.01,-4.5874,-1.6957,-2.8917,17.0,15.76,606.4128,694.9856,674.5805,654.1754,"vol↑, RSI low","{3: {'yhat': 660.93, 'yhat_lower': 651.82, 'yhat_upper': 669.59}, 5: {'yhat': 662.34, 'yhat_lower': 653.21, 'yhat_upper': 670.57}, 7: {'yhat': 661.41, 'yhat_lower': 652.8, 'yhat_upper': 670.23}, 14: {'yhat': 666.06, 'yhat_lower': 656.89, 'yhat_upper': 675.55}}",SELL,674.63,True,-2.33,1.55,3.1,
