Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,SMA21,Trend,Sentiment Bar,Momentum,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Forecasts,Trade,Trendline Support,Trendline Broken,Stop %,Target1 %,Target2 %,notes
QCOM,,163.3,2.32,26.37,37.55,Neutral,4.07,169.7603,173.4933,,,-4.44,,,,,,Decreasing,0.0385,"Ticker
SPY   -2.66
dtype: float64",-2.7676,-0.8746,-1.8931,14.17,14.47,157.5963,187.7492,173.721,159.6928,RSI low,"{3: {'yhat': 161.84, 'yhat_lower': 157.21, 'yhat_upper': 166.78}, 5: {'yhat': 162.18, 'yhat_lower': 157.11, 'yhat_upper': 167.06}, 7: {'yhat': 160.01, 'yhat_lower': 155.19, 'yhat_upper': 165.16}, 14: {'yhat': 160.89, 'yhat_lower': 156.21, 'yhat_upper': 165.49}}",SELL,171.2127,True,-6.1,4.07,8.14,
HD,,343.32,3.29,26.3,32.36,Neutral,2.65,362.523,367.6795,,,-7.49,,,,,,Increasing,0.0028,"Ticker
SPY   -5.71
dtype: float64",-11.3729,-8.3503,-3.0226,10.25,5.92,378.6308,400.7837,366.7295,332.6753,"vol↑, RSI low","{3: {'yhat': 342.63, 'yhat_lower': 334.86, 'yhat_upper': 350.13}, 5: {'yhat': 341.18, 'yhat_lower': 334.17, 'yhat_upper': 348.1}, 7: {'yhat': 341.11, 'yhat_lower': 334.03, 'yhat_upper': 348.85}, 14: {'yhat': 340.47, 'yhat_lower': 333.64, 'yhat_upper': 348.07}}",SELL,352.4359,True,-3.97,2.65,5.3,
META,,594.25,0.87,25.97,24.47,Oversold,2.96,632.5464,643.3029,,,-4.42,,,,,,Decreasing,0.0098,"Ticker
SPY   -2.64
dtype: float64",-22.9891,-24.2274,1.2383,13.71,11.49,651.9225,743.4547,638.55,533.6453,RSI low,"{3: {'yhat': 618.34, 'yhat_lower': 600.9, 'yhat_upper': 636.92}, 5: {'yhat': 629.9, 'yhat_lower': 610.82, 'yhat_upper': 648.25}, 7: {'yhat': 639.08, 'yhat_lower': 620.93, 'yhat_upper': 658.43}, 14: {'yhat': 673.93, 'yhat_lower': 656.31, 'yhat_upper': 691.24}}",SELL,613.0428,True,-4.44,2.96,5.92,
MSFT,,472.12,-1.32,25.46,20.05,Oversold,2.42,501.3976,508.3238,,,-4.79,,,,,,Increasing,0.04,"Ticker
SPY   -3.01
dtype: float64",-9.3772,-5.4775,-3.8997,7.86,11.56,453.9972,544.067,507.6084,471.1498,"vol↑, RSI low","{3: {'yhat': 486.57, 'yhat_lower': 477.04, 'yhat_upper': 495.78}, 5: {'yhat': 488.77, 'yhat_lower': 480.16, 'yhat_upper': 497.27}, 7: {'yhat': 490.59, 'yhat_lower': 481.9, 'yhat_upper': 500.09}, 14: {'yhat': 504.68, 'yhat_lower': 496.3, 'yhat_upper': 514.01}}",SELL,504.1828,True,-3.63,2.42,4.84,
MSTR,,170.5,-3.74,25.13,18.03,Oversold,9.99,226.7007,235.9076,,,-29.53,,,,,,Increasing,0.0078,"Ticker
SPY   -27.75
dtype: float64",-24.352,-20.9372,-3.4147,5.11,8.56,338.6639,305.8849,233.249,160.6131,"vol↑, RSI low","{3: {'yhat': 177.28, 'yhat_lower': 158.27, 'yhat_upper': 197.53}, 5: {'yhat': 177.98, 'yhat_lower': 157.18, 'yhat_upper': 197.99}, 7: {'yhat': 176.67, 'yhat_lower': 156.88, 'yhat_upper': 197.76}, 14: {'yhat': 179.48, 'yhat_lower': 160.26, 'yhat_upper': 198.35}}",SELL,213.1702,True,-14.98,9.99,19.98,
GLD,,374.27,-0.15,24.5,49.28,Neutral,1.71,373.6759,372.1571,,,1.62,,,,,,Decreasing,0.0303,"Ticker
SPY    3.4
dtype: float64",0.7954,1.2426,-0.4471,49.66,48.4,316.0099,385.0691,371.889,358.7089,"above EMA20, positive ROC","{3: {'yhat': 384.36, 'yhat_lower': 378.39, 'yhat_upper': 390.13}, 5: {'yhat': 386.04, 'yhat_lower': 380.65, 'yhat_upper': 391.36}, 7: {'yhat': 386.59, 'yhat_lower': 381.15, 'yhat_upper': 392.55}, 14: {'yhat': 386.12, 'yhat_lower': 380.87, 'yhat_upper': 391.97}}",SELL,384.9136,True,-2.56,1.71,3.42,
GDX,,73.65,0.93,24.31,45.17,Neutral,3.97,74.5181,73.4314,,,1.52,,,,,,Increasing,0.027,"Ticker
SPY    3.3
dtype: float64",0.1461,0.3076,-0.1614,52.14,57.75,54.7116,79.2731,73.463,67.6529,"vol↑, positive ROC","{3: {'yhat': 78.04, 'yhat_lower': 76.24, 'yhat_upper': 79.95}, 5: {'yhat': 78.5, 'yhat_lower': 76.54, 'yhat_upper': 80.39}, 7: {'yhat': 78.4, 'yhat_lower': 76.53, 'yhat_upper': 80.39}, 14: {'yhat': 77.67, 'yhat_lower': 75.85, 'yhat_upper': 79.45}}",SELL,75.6301,True,-5.96,3.97,7.94,
FSLR,,249.91,1.66,23.09,43.37,Neutral,5.31,252.5057,256.3657,,,-6.62,,,,,,Decreasing,0.0588,"Ticker
SPY   -4.84
dtype: float64",-0.324,3.2432,-3.5672,16.33,24.41,173.4839,281.3499,257.1135,232.8771,RSI low,"{3: {'yhat': 251.4, 'yhat_lower': 240.29, 'yhat_upper': 262.14}, 5: {'yhat': 250.05, 'yhat_lower': 240.02, 'yhat_upper': 259.95}, 7: {'yhat': 249.39, 'yhat_lower': 239.27, 'yhat_upper': 260.46}, 14: {'yhat': 248.32, 'yhat_lower': 238.55, 'yhat_upper': 259.19}}",SELL,259.5273,True,-7.96,5.31,10.62,
INTC,,34.5,2.62,21.87,37.1,Neutral,5.31,36.3004,37.5733,,,-9.52,,,,,,Decreasing,0.04,"Ticker
SPY   -7.74
dtype: float64",-0.9914,-0.5279,-0.4634,15.46,12.92,25.2668,42.3306,37.538,32.7454,RSI low,"{3: {'yhat': 32.06, 'yhat_lower': 30.72, 'yhat_upper': 33.38}, 5: {'yhat': 31.45, 'yhat_lower': 30.23, 'yhat_upper': 32.68}, 7: {'yhat': 30.84, 'yhat_lower': 29.53, 'yhat_upper': 32.07}, 14: {'yhat': 29.24, 'yhat_lower': 27.85, 'yhat_upper': 30.52}}",SELL,40.1768,True,-7.96,5.31,10.62,
IWM,,235.6,2.83,21.57,44.82,Neutral,2.23,239.0479,241.4495,,,-2.49,,,,,,Increasing,0.0263,"Ticker
SPY   -0.71
dtype: float64",-3.1015,-2.2947,-0.8068,18.38,13.55,220.2392,252.9215,241.0505,229.1795,"vol↑, RSI low","{3: {'yhat': 233.3, 'yhat_lower': 229.78, 'yhat_upper': 236.97}, 5: {'yhat': 233.59, 'yhat_lower': 230.01, 'yhat_upper': 237.25}, 7: {'yhat': 232.53, 'yhat_lower': 228.71, 'yhat_upper': 236.62}, 14: {'yhat': 230.88, 'yhat_lower': 227.44, 'yhat_upper': 234.74}}",SELL,240.8811,True,-3.34,2.23,4.46,
