Symbol,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,notes
SPSB,30.19,0.05,71.48,60.1,Neutral,0.11,30.1706,Neutral,★★★★☆ →,0.12,0.0,
UUP,28.18,0.23,71.44,59.69,Neutral,0.36,28.0729,Neutral,★★★★☆ →,-0.51,0.0,
BSCR,19.73,-0.02,71.4,60.05,Neutral,0.11,19.7169,Neutral,★★★★☆ →,0.1,0.0,
GSK,47.76,1.24,71.35,65.73,Neutral,1.97,46.0725,Bullish,★★★★☆ →,2.91,0.0,
BCS,21.58,-0.53,71.34,54.25,Neutral,1.72,21.4666,Neutral,★★★★☆ →,2.25,0.0,
SNY,52.42,0.54,71.33,64.62,Neutral,1.6,50.7462,Bullish,★★★★☆ →,6.74,0.0,
AL,63.81,-0.15,71.29,59.14,Neutral,0.25,63.7457,Neutral,★★★★☆ →,0.26,0.0,
SPXS,37.79,1.48,71.27,55.0,Neutral,3.38,36.7232,Bullish,★★★★☆ →,3.14,0.0,
AON,349.54,-0.17,71.25,53.53,Neutral,2.13,346.0821,Neutral,★★★★☆ →,1.55,0.0,
ENB,48.0,0.25,71.24,53.56,Neutral,1.74,47.6775,Neutral,★★★★☆ →,3.47,0.0,
HXL,70.69,2.32,71.2,60.4,Neutral,2.78,68.756,Bullish,★★★★☆ →,1.09,0.0,
WM,208.57,-0.29,71.19,51.81,Neutral,1.83,206.1908,Bullish,★★★★☆ →,3.93,0.0,
ELS,62.08,-0.07,71.17,53.48,Neutral,1.8,61.6746,Neutral,★★★★☆ →,2.35,0.0,
NUE,149.61,1.24,71.16,59.22,Neutral,3.1,144.9277,Bullish,★★★★☆ →,3.69,0.0,
DLTR,105.74,0.94,71.14,59.92,Neutral,3.14,102.3803,Bullish,★★★★☆ →,3.59,0.0,
CDP,28.87,-0.17,71.14,54.62,Neutral,1.93,28.6612,Neutral,★★★★☆ →,1.05,0.0,
RDN,34.91,-1.02,71.11,54.19,Neutral,2.42,34.622,Neutral,★★★★☆ →,1.75,0.0,
MDT,97.03,1.21,71.06,65.17,Neutral,1.59,94.0438,Bullish,★★★★☆ →,7.31,0.0,
YUM,149.42,0.27,71.03,56.53,Neutral,2.15,147.0965,Bullish,★★★★☆ →,-0.09,0.0,
RDY,14.01,0.47,71.01,52.27,Neutral,1.98,13.8698,Bullish,★★★★☆ →,3.97,0.0,
FANG,147.6,-1.07,71.0,58.09,Neutral,2.72,143.511,Bullish,★★★★☆ →,6.6,0.0,
FTV,51.1,-0.95,70.95,56.08,Neutral,2.89,50.7196,Neutral,★★★★☆ →,1.51,0.0,
SRLN,41.26,-0.06,70.93,59.04,Neutral,0.15,41.2166,Neutral,★★★★☆ →,0.01,0.0,
RY,147.53,0.66,70.93,54.26,Neutral,1.32,146.7848,Neutral,★★★★☆ →,1.21,0.0,
DHT,13.69,0.11,70.91,70.91,Overbought,2.53,13.0955,Bullish,★★★★☆ ↓,6.42,0.0,
ED,103.43,1.74,70.89,65.13,Neutral,1.88,99.7163,Bullish,★★★★☆ →,5.58,0.0,
MTG,28.02,-0.67,70.89,55.21,Neutral,2.02,27.7774,Neutral,★★★★☆ →,0.36,0.0,
DG,105.64,1.28,70.88,59.56,Neutral,2.59,102.2322,Bullish,★★★★☆ →,5.88,0.0,
KDP,27.22,0.31,70.87,52.2,Neutral,2.42,26.9428,Bullish,★★★★☆ →,2.85,0.0,
GMAB,30.78,1.72,70.78,59.59,Neutral,2.4,29.8872,Bullish,★★★★☆ →,7.02,0.0,
PLD,124.37,1.25,70.77,55.47,Neutral,1.7,123.6246,Neutral,★★★★☆ →,0.3,0.0,
ROK,373.77,-0.89,70.77,55.36,Neutral,3.15,370.6544,Neutral,★★★★☆ →,3.87,0.0,
DINO,55.74,-0.75,70.76,59.5,Neutral,3.63,54.022,Bullish,★★★★☆ →,4.26,0.0,
ELV,334.38,2.62,70.75,54.53,Neutral,3.32,327.0382,Bullish,★★★★☆ →,5.61,0.0,
QID,21.12,0.96,70.73,55.02,Neutral,3.22,20.5339,Bullish,★★★★☆ →,4.35,0.0,
SPTS,29.28,0.07,70.72,58.57,Neutral,0.1,29.2542,Neutral,★★★★☆ →,0.1,0.0,
XENE,41.21,1.09,70.71,56.03,Neutral,3.73,40.2638,Bullish,★★★★☆ →,5.41,0.0,
TW,109.7,0.16,70.68,52.79,Neutral,2.4,108.5976,Bullish,★★★★☆ →,4.63,0.0,
MCD,305.64,-0.45,70.63,52.91,Neutral,1.78,303.9287,Neutral,★★★★☆ →,2.15,0.0,
TSN,53.55,-0.8,70.61,52.86,Neutral,2.59,53.1092,Neutral,★★★★☆ →,2.9,0.0,
BJ,93.25,-1.19,70.57,52.34,Neutral,2.57,92.4076,Neutral,★★★★☆ →,3.4,0.0,
AR,34.05,-0.9,70.57,55.99,Neutral,3.96,33.3032,Bullish,★★★★☆ →,3.4,0.0,
EMB,96.12,0.16,70.56,56.87,Neutral,0.38,95.9302,Neutral,★★★★☆ →,0.28,0.0,
ORLY,99.24,0.45,70.49,53.07,Neutral,2.1,97.9717,Bullish,★★★★☆ →,5.77,0.0,
FTI,43.35,-0.78,70.47,65.52,Neutral,2.62,41.7421,Bullish,★★★★☆ →,3.56,0.0,
VGSH,58.74,0.03,70.42,58.18,Neutral,0.09,58.7028,Neutral,★★★★☆ →,0.07,0.0,
JPIE,46.24,0.01,70.36,57.94,Neutral,0.11,46.2013,Neutral,★★★★☆ →,0.08,0.0,
SPLV,72.11,0.13,70.32,52.82,Neutral,0.95,71.7817,Neutral,★★★★☆ →,1.81,0.0,
SLM,27.64,0.14,70.31,52.82,Neutral,2.99,27.305,Bullish,★★★★☆ →,1.95,0.0,
PHYS,31.01,-0.48,70.31,53.22,Neutral,1.77,30.8522,Neutral,★★★★☆ →,4.06,0.0,
FNDE,37.11,-0.84,70.28,54.16,Neutral,1.01,37.0347,Neutral,★★★★☆ →,1.55,0.0,
DUK,124.11,1.14,70.25,53.12,Neutral,1.37,123.4925,Neutral,★★★★☆ →,1.1,0.0,
HALO,71.13,1.57,70.23,62.32,Neutral,3.44,68.6481,Bullish,★★★★☆ →,4.53,0.0,
DOG,24.21,0.54,70.22,53.18,Neutral,1.1,24.0347,Neutral,★★★★☆ →,0.5,0.0,
OXY,42.47,-0.69,70.2,52.62,Neutral,2.23,41.8772,Bullish,★★★★☆ →,5.95,0.0,
PPL,36.96,0.54,70.15,52.62,Neutral,1.49,36.8104,Neutral,★★★★☆ →,1.96,0.0,
NEA,11.51,-0.17,70.14,56.3,Neutral,0.93,11.4631,Neutral,★★★★☆ →,-0.45,0.0,
CMI,457.92,-1.01,70.13,56.79,Neutral,3.29,450.2582,Bullish,★★★★☆ →,6.81,0.0,
DXD,21.65,0.97,70.12,52.32,Neutral,2.16,21.3826,Bullish,★★★★☆ →,0.74,0.0,
AGNC,10.17,0.2,70.08,55.05,Neutral,1.57,10.1137,Neutral,★★★★☆ →,-0.1,0.0,
AAAU,40.22,-0.3,70.06,53.06,Neutral,1.66,40.0794,Neutral,★★★★☆ →,3.45,0.0,
SPXU,13.44,1.51,70.04,55.01,Neutral,3.39,13.0616,Bullish,★★★★☆ →,3.15,0.0,
XEL,81.16,0.72,70.03,56.33,Neutral,1.96,80.6083,Neutral,★★★★☆ →,-0.53,0.0,
IAUM,40.62,-0.33,70.01,53.03,Neutral,1.67,40.478,Neutral,★★★★☆ →,3.43,0.0,
MT,39.72,0.62,70.01,56.99,Neutral,2.3,38.9721,Bullish,★★★★☆ →,7.6,0.0,
GLDM,80.65,-0.31,69.98,53.02,Neutral,1.68,80.3761,Neutral,★★★★☆ →,3.44,0.0,
MPLX,53.12,-0.17,69.98,73.69,Overbought,1.54,50.9164,Bullish,★★★★☆ ↓,5.96,0.0,
SUI,126.3,-0.41,69.94,52.59,Neutral,2.09,125.482,Neutral,★★★★☆ →,1.2,0.0,
HAS,77.42,-0.38,69.93,52.98,Neutral,2.01,77.1155,Neutral,★★★★☆ →,1.89,0.0,
