Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
SPY,Unknown,656.87,-1.32,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-2.6351,0.5431,-3.1782,,,,,,,,,Low,calc_error:KeyError,22.5,,New
QQQ,Unknown,592.83,-1.79,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-3.9879,0.2302,-4.2181,,,,,,,,,Low,calc_error:KeyError,22.5,,New
IWM,Unknown,230.99,-0.76,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-3.0723,-1.4724,-1.5999,,,,,,,,,Low,calc_error:KeyError,22.5,,New
SMCI,Unknown,33.64,-1.35,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-4.0927,-3.2485,-0.8443,,,,,,,,,Low,calc_error:KeyError,22.5,,New
CELH,Unknown,40.92,1.88,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-4.7898,-3.8912,-0.8987,,,,,,,,,Low,calc_error:KeyError,22.5,,New
PLTR,Unknown,165.97,-3.08,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-4.3808,-1.1113,-3.2695,,,,,,,,,Low,calc_error:KeyError,22.5,,-
UBER,Unknown,90.4,-1.85,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.9885,-0.6352,-0.3532,,,,,,,,,Low,calc_error:KeyError,22.5,,-
FSLR,Unknown,244.58,-3.53,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,1.5701,5.869,-4.2989,,,,,,,,,Low,calc_error:KeyError,22.5,,-
ENPH,Unknown,27.27,-0.94,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-1.6164,-1.3712,-0.2453,,,,,,,,,Low,calc_error:KeyError,22.5,,-
SEDG,Unknown,34.0,-0.79,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.585,0.2883,-0.8733,,,,,,,,,Low,calc_error:KeyError,22.5,,-
COST,Unknown,911.81,-0.09,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-3.6594,-2.8591,-0.8003,,,,,,,,,Low,calc_error:KeyError,22.5,,-
HD,Unknown,347.1,-3.05,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-7.5319,-5.2249,-2.3069,,,,,,,,,Low,calc_error:KeyError,22.5,,-
WMT,Unknown,102.39,-0.54,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.2598,-0.3462,0.0864,,,,,,,,,Low,calc_error:KeyError,22.5,,-
PANW,Unknown,200.46,-1.2,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-3.0177,-0.827,-2.1908,,,,,,,,,Low,calc_error:KeyError,22.5,,-
CRWD,Unknown,514.85,-2.82,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,1.1821,6.8917,-5.7096,,,,,,,,,Low,calc_error:KeyError,22.5,,-
ZS,Unknown,291.9,-1.02,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-5.527,-0.0278,-5.4992,,,,,,,,,Low,calc_error:KeyError,22.5,,-
MRNA,Unknown,24.05,-2.87,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.3745,-0.3192,-0.0554,,,,,,,,,Low,calc_error:KeyError,22.5,,-
LLY,Unknown,1023.95,0.22,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,47.7894,41.2046,6.5848,,,,,,,,,Low,calc_error:KeyError,22.5,,-
PFE,Unknown,25.21,0.52,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,0.2607,0.1829,0.0778,,,,,,,,,Low,calc_error:KeyError,22.5,,-
XOM,Unknown,117.64,-0.03,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,1.2703,1.0831,0.1872,,,,,,,,,Low,calc_error:KeyError,22.5,,-
CVX,Unknown,152.09,-1.76,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.0463,0.1322,-0.1785,,,,,,,,,Low,calc_error:KeyError,22.5,,-
GLD,Unknown,373.17,0.41,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,1.2548,1.478,-0.2232,,,,,,,,,Low,calc_error:KeyError,22.5,,-
SLV,Unknown,45.69,0.48,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,0.5299,0.4582,0.0717,,,,,,,,,Low,calc_error:KeyError,22.5,,-
GDX,Unknown,74.87,-0.11,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,0.5915,0.2437,0.3477,,,,,,,,,Low,calc_error:KeyError,22.5,,-
COIN,Unknown,261.84,-0.8,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-17.7274,-12.1208,-5.6066,,,,,,,,,Low,calc_error:KeyError,22.5,,-
MSTR,Unknown,200.32,2.51,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-21.7917,-18.6977,-3.0939,,,,,,,,,Low,calc_error:KeyError,22.5,,-
NKE,Unknown,62.07,-1.32,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.8211,-1.0975,0.2763,,,,,,,,,Low,calc_error:KeyError,22.5,,-
DE,Unknown,472.89,-0.65,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,2.5121,2.8157,-0.3036,,,,,,,,,Low,calc_error:KeyError,22.5,,-
CAT,Unknown,539.92,-2.2,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,2.7161,9.1837,-6.4676,,,,,,,,,Low,calc_error:KeyError,22.5,,-
